imbalance_threshold,take_profit,stop_loss,position_limit,order_size,total_pnl,total_trades
0.2,1.0,0.5,10,3,27.0,324
0.2,1.0,0.5,10,5,45.0,324
0.2,1.0,0.5,10,7,63.0,324
0.2,1.0,0.5,10,10,90.0,324
0.2,1.0,0.5,15,3,27.0,324
0.2,1.0,0.5,15,5,45.0,324
0.2,1.0,0.5,15,7,63.0,324
0.2,1.0,0.5,15,10,90.0,324
0.2,1.0,0.5,20,3,27.0,324
0.2,1.0,0.5,20,5,45.0,324
0.2,1.0,0.5,20,7,63.0,324
0.2,1.0,0.5,20,10,90.0,324
0.2,1.0,0.5,25,3,27.0,324
0.2,1.0,0.5,25,5,45.0,324
0.2,1.0,0.5,25,7,63.0,324
0.2,1.0,0.5,25,10,90.0,324
0.2,1.0,0.5,30,3,27.0,324
0.2,1.0,0.5,30,5,45.0,324
0.2,1.0,0.5,30,7,63.0,324
0.2,1.0,0.5,30,10,90.0,324
0.2,1.0,1.0,10,3,21.0,324
0.2,1.0,1.0,10,5,35.0,324
0.2,1.0,1.0,10,7,49.0,324
0.2,1.0,1.0,10,10,70.0,324
0.2,1.0,1.0,15,3,21.0,324
0.2,1.0,1.0,15,5,35.0,324
0.2,1.0,1.0,15,7,49.0,324
0.2,1.0,1.0,15,10,70.0,324
0.2,1.0,1.0,20,3,21.0,324
0.2,1.0,1.0,20,5,35.0,324
0.2,1.0,1.0,20,7,49.0,324
0.2,1.0,1.0,20,10,70.0,324
0.2,1.0,1.0,25,3,21.0,324
0.2,1.0,1.0,25,5,35.0,324
0.2,1.0,1.0,25,7,49.0,324
0.2,1.0,1.0,25,10,70.0,324
0.2,1.0,1.0,30,3,21.0,324
0.2,1.0,1.0,30,5,35.0,324
0.2,1.0,1.0,30,7,49.0,324
0.2,1.0,1.0,30,10,70.0,324
0.2,1.0,1.5,10,3,-25.5,324
0.2,1.0,1.5,10,5,-42.5,324
0.2,1.0,1.5,10,7,-59.5,324
0.2,1.0,1.5,10,10,-85.0,324
0.2,1.0,1.5,15,3,-25.5,324
0.2,1.0,1.5,15,5,-42.5,324
0.2,1.0,1.5,15,7,-59.5,324
0.2,1.0,1.5,15,10,-85.0,324
0.2,1.0,1.5,20,3,-25.5,324
0.2,1.0,1.5,20,5,-42.5,324
0.2,1.0,1.5,20,7,-59.5,324
0.2,1.0,1.5,20,10,-85.0,324
0.2,1.0,1.5,25,3,-25.5,324
0.2,1.0,1.5,25,5,-42.5,324
0.2,1.0,1.5,25,7,-59.5,324
0.2,1.0,1.5,25,10,-85.0,324
0.2,1.0,1.5,30,3,-25.5,324
0.2,1.0,1.5,30,5,-42.5,324
0.2,1.0,1.5,30,7,-59.5,324
0.2,1.0,1.5,30,10,-85.0,324
0.2,1.0,2.0,10,3,-37.5,324
0.2,1.0,2.0,10,5,-62.5,324
0.2,1.0,2.0,10,7,-87.5,324
0.2,1.0,2.0,10,10,-125.0,324
0.2,1.0,2.0,15,3,-37.5,324
0.2,1.0,2.0,15,5,-62.5,324
0.2,1.0,2.0,15,7,-87.5,324
0.2,1.0,2.0,15,10,-125.0,324
0.2,1.0,2.0,20,3,-37.5,324
0.2,1.0,2.0,20,5,-62.5,324
0.2,1.0,2.0,20,7,-87.5,324
0.2,1.0,2.0,20,10,-125.0,324
0.2,1.0,2.0,25,3,-37.5,324
0.2,1.0,2.0,25,5,-62.5,324
0.2,1.0,2.0,25,7,-87.5,324
0.2,1.0,2.0,25,10,-125.0,324
0.2,1.0,2.0,30,3,-37.5,324
0.2,1.0,2.0,30,5,-62.5,324
0.2,1.0,2.0,30,7,-87.5,324
0.2,1.0,2.0,30,10,-125.0,324
0.2,1.0,2.5,10,3,-58.5,324
0.2,1.0,2.5,10,5,-97.5,324
0.2,1.0,2.5,10,7,-136.5,324
0.2,1.0,2.5,10,10,-195.0,324
0.2,1.0,2.5,15,3,-58.5,324
0.2,1.0,2.5,15,5,-97.5,324
0.2,1.0,2.5,15,7,-136.5,324
0.2,1.0,2.5,15,10,-195.0,324
0.2,1.0,2.5,20,3,-58.5,324
0.2,1.0,2.5,20,5,-97.5,324
0.2,1.0,2.5,20,7,-136.5,324
0.2,1.0,2.5,20,10,-195.0,324
0.2,1.0,2.5,25,3,-58.5,324
0.2,1.0,2.5,25,5,-97.5,324
0.2,1.0,2.5,25,7,-136.5,324
0.2,1.0,2.5,25,10,-195.0,324
0.2,1.0,2.5,30,3,-58.5,324
0.2,1.0,2.5,30,5,-97.5,324
0.2,1.0,2.5,30,7,-136.5,324
0.2,1.0,2.5,30,10,-195.0,324
0.2,2.0,0.5,10,3,67.5,324
0.2,2.0,0.5,10,5,112.5,324
0.2,2.0,0.5,10,7,157.5,324
0.2,2.0,0.5,10,10,225.0,324
0.2,2.0,0.5,15,3,67.5,324
0.2,2.0,0.5,15,5,112.5,324
0.2,2.0,0.5,15,7,157.5,324
0.2,2.0,0.5,15,10,225.0,324
0.2,2.0,0.5,20,3,67.5,324
0.2,2.0,0.5,20,5,112.5,324
0.2,2.0,0.5,20,7,157.5,324
0.2,2.0,0.5,20,10,225.0,324
0.2,2.0,0.5,25,3,67.5,324
0.2,2.0,0.5,25,5,112.5,324
0.2,2.0,0.5,25,7,157.5,324
0.2,2.0,0.5,25,10,225.0,324
0.2,2.0,0.5,30,3,67.5,324
0.2,2.0,0.5,30,5,112.5,324
0.2,2.0,0.5,30,7,157.5,324
0.2,2.0,0.5,30,10,225.0,324
0.2,2.0,1.0,10,3,45.0,324
0.2,2.0,1.0,10,5,75.0,324
0.2,2.0,1.0,10,7,105.0,324
0.2,2.0,1.0,10,10,150.0,324
0.2,2.0,1.0,15,3,45.0,324
0.2,2.0,1.0,15,5,75.0,324
0.2,2.0,1.0,15,7,105.0,324
0.2,2.0,1.0,15,10,150.0,324
0.2,2.0,1.0,20,3,45.0,324
0.2,2.0,1.0,20,5,75.0,324
0.2,2.0,1.0,20,7,105.0,324
0.2,2.0,1.0,20,10,150.0,324
0.2,2.0,1.0,25,3,45.0,324
0.2,2.0,1.0,25,5,75.0,324
0.2,2.0,1.0,25,7,105.0,324
0.2,2.0,1.0,25,10,150.0,324
0.2,2.0,1.0,30,3,45.0,324
0.2,2.0,1.0,30,5,75.0,324
0.2,2.0,1.0,30,7,105.0,324
0.2,2.0,1.0,30,10,150.0,324
0.2,2.0,1.5,10,3,3.0,324
0.2,2.0,1.5,10,5,5.0,324
0.2,2.0,1.5,10,7,7.0,324
0.2,2.0,1.5,10,10,10.0,324
0.2,2.0,1.5,15,3,3.0,324
0.2,2.0,1.5,15,5,5.0,324
0.2,2.0,1.5,15,7,7.0,324
0.2,2.0,1.5,15,10,10.0,324
0.2,2.0,1.5,20,3,3.0,324
0.2,2.0,1.5,20,5,5.0,324
0.2,2.0,1.5,20,7,7.0,324
0.2,2.0,1.5,20,10,10.0,324
0.2,2.0,1.5,25,3,3.0,324
0.2,2.0,1.5,25,5,5.0,324
0.2,2.0,1.5,25,7,7.0,324
0.2,2.0,1.5,25,10,10.0,324
0.2,2.0,1.5,30,3,3.0,324
0.2,2.0,1.5,30,5,5.0,324
0.2,2.0,1.5,30,7,7.0,324
0.2,2.0,1.5,30,10,10.0,324
0.2,2.0,2.0,10,3,30.0,324
0.2,2.0,2.0,10,5,50.0,324
0.2,2.0,2.0,10,7,70.0,324
0.2,2.0,2.0,10,10,100.0,324
0.2,2.0,2.0,15,3,30.0,324
0.2,2.0,2.0,15,5,50.0,324
0.2,2.0,2.0,15,7,70.0,324
0.2,2.0,2.0,15,10,100.0,324
0.2,2.0,2.0,20,3,30.0,324
0.2,2.0,2.0,20,5,50.0,324
0.2,2.0,2.0,20,7,70.0,324
0.2,2.0,2.0,20,10,100.0,324
0.2,2.0,2.0,25,3,30.0,324
0.2,2.0,2.0,25,5,50.0,324
0.2,2.0,2.0,25,7,70.0,324
0.2,2.0,2.0,25,10,100.0,324
0.2,2.0,2.0,30,3,30.0,324
0.2,2.0,2.0,30,5,50.0,324
0.2,2.0,2.0,30,7,70.0,324
0.2,2.0,2.0,30,10,100.0,324
0.2,2.0,2.5,10,3,22.5,324
0.2,2.0,2.5,10,5,37.5,324
0.2,2.0,2.5,10,7,52.5,324
0.2,2.0,2.5,10,10,75.0,324
0.2,2.0,2.5,15,3,22.5,324
0.2,2.0,2.5,15,5,37.5,324
0.2,2.0,2.5,15,7,52.5,324
0.2,2.0,2.5,15,10,75.0,324
0.2,2.0,2.5,20,3,22.5,324
0.2,2.0,2.5,20,5,37.5,324
0.2,2.0,2.5,20,7,52.5,324
0.2,2.0,2.5,20,10,75.0,324
0.2,2.0,2.5,25,3,22.5,324
0.2,2.0,2.5,25,5,37.5,324
0.2,2.0,2.5,25,7,52.5,324
0.2,2.0,2.5,25,10,75.0,324
0.2,2.0,2.5,30,3,22.5,324
0.2,2.0,2.5,30,5,37.5,324
0.2,2.0,2.5,30,7,52.5,324
0.2,2.0,2.5,30,10,75.0,324
0.2,3.0,0.5,10,3,21.0,322
0.2,3.0,0.5,10,5,35.0,322
0.2,3.0,0.5,10,7,49.0,322
0.2,3.0,0.5,10,10,70.0,322
0.2,3.0,0.5,15,3,21.0,322
0.2,3.0,0.5,15,5,35.0,322
0.2,3.0,0.5,15,7,49.0,322
0.2,3.0,0.5,15,10,70.0,322
0.2,3.0,0.5,20,3,21.0,322
0.2,3.0,0.5,20,5,35.0,322
0.2,3.0,0.5,20,7,49.0,322
0.2,3.0,0.5,20,10,70.0,322
0.2,3.0,0.5,25,3,21.0,322
0.2,3.0,0.5,25,5,35.0,322
0.2,3.0,0.5,25,7,49.0,322
0.2,3.0,0.5,25,10,70.0,322
0.2,3.0,0.5,30,3,21.0,322
0.2,3.0,0.5,30,5,35.0,322
0.2,3.0,0.5,30,7,49.0,322
0.2,3.0,0.5,30,10,70.0,322
0.2,3.0,1.0,10,3,1.5,320
0.2,3.0,1.0,10,5,2.5,320
0.2,3.0,1.0,10,7,3.5,320
0.2,3.0,1.0,10,10,5.0,320
0.2,3.0,1.0,15,3,1.5,320
0.2,3.0,1.0,15,5,2.5,320
0.2,3.0,1.0,15,7,3.5,320
0.2,3.0,1.0,15,10,5.0,320
0.2,3.0,1.0,20,3,1.5,320
0.2,3.0,1.0,20,5,2.5,320
0.2,3.0,1.0,20,7,3.5,320
0.2,3.0,1.0,20,10,5.0,320
0.2,3.0,1.0,25,3,1.5,320
0.2,3.0,1.0,25,5,2.5,320
0.2,3.0,1.0,25,7,3.5,320
0.2,3.0,1.0,25,10,5.0,320
0.2,3.0,1.0,30,3,1.5,320
0.2,3.0,1.0,30,5,2.5,320
0.2,3.0,1.0,30,7,3.5,320
0.2,3.0,1.0,30,10,5.0,320
0.2,3.0,1.5,10,3,-25.5,318
0.2,3.0,1.5,10,5,-42.5,318
0.2,3.0,1.5,10,7,-59.5,318
0.2,3.0,1.5,10,10,-85.0,318
0.2,3.0,1.5,15,3,-25.5,318
0.2,3.0,1.5,15,5,-42.5,318
0.2,3.0,1.5,15,7,-59.5,318
0.2,3.0,1.5,15,10,-85.0,318
0.2,3.0,1.5,20,3,-25.5,318
0.2,3.0,1.5,20,5,-42.5,318
0.2,3.0,1.5,20,7,-59.5,318
0.2,3.0,1.5,20,10,-85.0,318
0.2,3.0,1.5,25,3,-25.5,318
0.2,3.0,1.5,25,5,-42.5,318
0.2,3.0,1.5,25,7,-59.5,318
0.2,3.0,1.5,25,10,-85.0,318
0.2,3.0,1.5,30,3,-25.5,318
0.2,3.0,1.5,30,5,-42.5,318
0.2,3.0,1.5,30,7,-59.5,318
0.2,3.0,1.5,30,10,-85.0,318
0.2,3.0,2.0,10,3,-27.0,318
0.2,3.0,2.0,10,5,-45.0,318
0.2,3.0,2.0,10,7,-63.0,318
0.2,3.0,2.0,10,10,-90.0,318
0.2,3.0,2.0,15,3,-27.0,318
0.2,3.0,2.0,15,5,-45.0,318
0.2,3.0,2.0,15,7,-63.0,318
0.2,3.0,2.0,15,10,-90.0,318
0.2,3.0,2.0,20,3,-27.0,318
0.2,3.0,2.0,20,5,-45.0,318
0.2,3.0,2.0,20,7,-63.0,318
0.2,3.0,2.0,20,10,-90.0,318
0.2,3.0,2.0,25,3,-27.0,318
0.2,3.0,2.0,25,5,-45.0,318
0.2,3.0,2.0,25,7,-63.0,318
0.2,3.0,2.0,25,10,-90.0,318
0.2,3.0,2.0,30,3,-27.0,318
0.2,3.0,2.0,30,5,-45.0,318
0.2,3.0,2.0,30,7,-63.0,318
0.2,3.0,2.0,30,10,-90.0,318
0.2,3.0,2.5,10,3,-9.0,316
0.2,3.0,2.5,10,5,-15.0,316
0.2,3.0,2.5,10,7,-21.0,316
0.2,3.0,2.5,10,10,-30.0,316
0.2,3.0,2.5,15,3,-9.0,316
0.2,3.0,2.5,15,5,-15.0,316
0.2,3.0,2.5,15,7,-21.0,316
0.2,3.0,2.5,15,10,-30.0,316
0.2,3.0,2.5,20,3,-9.0,316
0.2,3.0,2.5,20,5,-15.0,316
0.2,3.0,2.5,20,7,-21.0,316
0.2,3.0,2.5,20,10,-30.0,316
0.2,3.0,2.5,25,3,-9.0,316
0.2,3.0,2.5,25,5,-15.0,316
0.2,3.0,2.5,25,7,-21.0,316
0.2,3.0,2.5,25,10,-30.0,316
0.2,3.0,2.5,30,3,-9.0,316
0.2,3.0,2.5,30,5,-15.0,316
0.2,3.0,2.5,30,7,-21.0,316
0.2,3.0,2.5,30,10,-30.0,316
0.2,4.0,0.5,10,3,22.5,320
0.2,4.0,0.5,10,5,37.5,320
0.2,4.0,0.5,10,7,52.5,320
0.2,4.0,0.5,10,10,75.0,320
0.2,4.0,0.5,15,3,22.5,320
0.2,4.0,0.5,15,5,37.5,320
0.2,4.0,0.5,15,7,52.5,320
0.2,4.0,0.5,15,10,75.0,320
0.2,4.0,0.5,20,3,22.5,320
0.2,4.0,0.5,20,5,37.5,320
0.2,4.0,0.5,20,7,52.5,320
0.2,4.0,0.5,20,10,75.0,320
0.2,4.0,0.5,25,3,22.5,320
0.2,4.0,0.5,25,5,37.5,320
0.2,4.0,0.5,25,7,52.5,320
0.2,4.0,0.5,25,10,75.0,320
0.2,4.0,0.5,30,3,22.5,320
0.2,4.0,0.5,30,5,37.5,320
0.2,4.0,0.5,30,7,52.5,320
0.2,4.0,0.5,30,10,75.0,320
0.2,4.0,1.0,10,3,6.0,318
0.2,4.0,1.0,10,5,10.0,318
0.2,4.0,1.0,10,7,14.0,318
0.2,4.0,1.0,10,10,20.0,318
0.2,4.0,1.0,15,3,6.0,318
0.2,4.0,1.0,15,5,10.0,318
0.2,4.0,1.0,15,7,14.0,318
0.2,4.0,1.0,15,10,20.0,318
0.2,4.0,1.0,20,3,6.0,318
0.2,4.0,1.0,20,5,10.0,318
0.2,4.0,1.0,20,7,14.0,318
0.2,4.0,1.0,20,10,20.0,318
0.2,4.0,1.0,25,3,6.0,318
0.2,4.0,1.0,25,5,10.0,318
0.2,4.0,1.0,25,7,14.0,318
0.2,4.0,1.0,25,10,20.0,318
0.2,4.0,1.0,30,3,6.0,318
0.2,4.0,1.0,30,5,10.0,318
0.2,4.0,1.0,30,7,14.0,318
0.2,4.0,1.0,30,10,20.0,318
0.2,4.0,1.5,10,3,-52.5,316
0.2,4.0,1.5,10,5,-87.5,316
0.2,4.0,1.5,10,7,-122.5,316
0.2,4.0,1.5,10,10,-175.0,316
0.2,4.0,1.5,15,3,-52.5,316
0.2,4.0,1.5,15,5,-87.5,316
0.2,4.0,1.5,15,7,-122.5,316
0.2,4.0,1.5,15,10,-175.0,316
0.2,4.0,1.5,20,3,-52.5,316
0.2,4.0,1.5,20,5,-87.5,316
0.2,4.0,1.5,20,7,-122.5,316
0.2,4.0,1.5,20,10,-175.0,316
0.2,4.0,1.5,25,3,-52.5,316
0.2,4.0,1.5,25,5,-87.5,316
0.2,4.0,1.5,25,7,-122.5,316
0.2,4.0,1.5,25,10,-175.0,316
0.2,4.0,1.5,30,3,-52.5,316
0.2,4.0,1.5,30,5,-87.5,316
0.2,4.0,1.5,30,7,-122.5,316
0.2,4.0,1.5,30,10,-175.0,316
0.2,4.0,2.0,10,3,-73.5,316
0.2,4.0,2.0,10,5,-122.5,316
0.2,4.0,2.0,10,7,-171.5,316
0.2,4.0,2.0,10,10,-245.0,316
0.2,4.0,2.0,15,3,-73.5,316
0.2,4.0,2.0,15,5,-122.5,316
0.2,4.0,2.0,15,7,-171.5,316
0.2,4.0,2.0,15,10,-245.0,316
0.2,4.0,2.0,20,3,-73.5,316
0.2,4.0,2.0,20,5,-122.5,316
0.2,4.0,2.0,20,7,-171.5,316
0.2,4.0,2.0,20,10,-245.0,316
0.2,4.0,2.0,25,3,-73.5,316
0.2,4.0,2.0,25,5,-122.5,316
0.2,4.0,2.0,25,7,-171.5,316
0.2,4.0,2.0,25,10,-245.0,316
0.2,4.0,2.0,30,3,-73.5,316
0.2,4.0,2.0,30,5,-122.5,316
0.2,4.0,2.0,30,7,-171.5,316
0.2,4.0,2.0,30,10,-245.0,316
0.2,4.0,2.5,10,3,-85.5,312
0.2,4.0,2.5,10,5,-142.5,312
0.2,4.0,2.5,10,7,-199.5,312
0.2,4.0,2.5,10,10,-285.0,312
0.2,4.0,2.5,15,3,-85.5,312
0.2,4.0,2.5,15,5,-142.5,312
0.2,4.0,2.5,15,7,-199.5,312
0.2,4.0,2.5,15,10,-285.0,312
0.2,4.0,2.5,20,3,-85.5,312
0.2,4.0,2.5,20,5,-142.5,312
0.2,4.0,2.5,20,7,-199.5,312
0.2,4.0,2.5,20,10,-285.0,312
0.2,4.0,2.5,25,3,-85.5,312
0.2,4.0,2.5,25,5,-142.5,312
0.2,4.0,2.5,25,7,-199.5,312
0.2,4.0,2.5,25,10,-285.0,312
0.2,4.0,2.5,30,3,-85.5,312
0.2,4.0,2.5,30,5,-142.5,312
0.2,4.0,2.5,30,7,-199.5,312
0.2,4.0,2.5,30,10,-285.0,312
0.2,5.0,0.5,10,3,96.0,318
0.2,5.0,0.5,10,5,160.0,318
0.2,5.0,0.5,10,7,224.0,318
0.2,5.0,0.5,10,10,320.0,318
0.2,5.0,0.5,15,3,96.0,318
0.2,5.0,0.5,15,5,160.0,318
0.2,5.0,0.5,15,7,224.0,318
0.2,5.0,0.5,15,10,320.0,318
0.2,5.0,0.5,20,3,96.0,318
0.2,5.0,0.5,20,5,160.0,318
0.2,5.0,0.5,20,7,224.0,318
0.2,5.0,0.5,20,10,320.0,318
0.2,5.0,0.5,25,3,96.0,318
0.2,5.0,0.5,25,5,160.0,318
0.2,5.0,0.5,25,7,224.0,318
0.2,5.0,0.5,25,10,320.0,318
0.2,5.0,0.5,30,3,96.0,318
0.2,5.0,0.5,30,5,160.0,318
0.2,5.0,0.5,30,7,224.0,318
0.2,5.0,0.5,30,10,320.0,318
0.2,5.0,1.0,10,3,108.0,316
0.2,5.0,1.0,10,5,180.0,316
0.2,5.0,1.0,10,7,252.0,316
0.2,5.0,1.0,10,10,360.0,316
0.2,5.0,1.0,15,3,108.0,316
0.2,5.0,1.0,15,5,180.0,316
0.2,5.0,1.0,15,7,252.0,316
0.2,5.0,1.0,15,10,360.0,316
0.2,5.0,1.0,20,3,108.0,316
0.2,5.0,1.0,20,5,180.0,316
0.2,5.0,1.0,20,7,252.0,316
0.2,5.0,1.0,20,10,360.0,316
0.2,5.0,1.0,25,3,108.0,316
0.2,5.0,1.0,25,5,180.0,316
0.2,5.0,1.0,25,7,252.0,316
0.2,5.0,1.0,25,10,360.0,316
0.2,5.0,1.0,30,3,108.0,316
0.2,5.0,1.0,30,5,180.0,316
0.2,5.0,1.0,30,7,252.0,316
0.2,5.0,1.0,30,10,360.0,316
0.2,5.0,1.5,10,3,42.0,314
0.2,5.0,1.5,10,5,70.0,314
0.2,5.0,1.5,10,7,98.0,314
0.2,5.0,1.5,10,10,140.0,314
0.2,5.0,1.5,15,3,42.0,314
0.2,5.0,1.5,15,5,70.0,314
0.2,5.0,1.5,15,7,98.0,314
0.2,5.0,1.5,15,10,140.0,314
0.2,5.0,1.5,20,3,42.0,314
0.2,5.0,1.5,20,5,70.0,314
0.2,5.0,1.5,20,7,98.0,314
0.2,5.0,1.5,20,10,140.0,314
0.2,5.0,1.5,25,3,42.0,314
0.2,5.0,1.5,25,5,70.0,314
0.2,5.0,1.5,25,7,98.0,314
0.2,5.0,1.5,25,10,140.0,314
0.2,5.0,1.5,30,3,42.0,314
0.2,5.0,1.5,30,5,70.0,314
0.2,5.0,1.5,30,7,98.0,314
0.2,5.0,1.5,30,10,140.0,314
0.2,5.0,2.0,10,3,7.5,314
0.2,5.0,2.0,10,5,12.5,314
0.2,5.0,2.0,10,7,17.5,314
0.2,5.0,2.0,10,10,25.0,314
0.2,5.0,2.0,15,3,7.5,314
0.2,5.0,2.0,15,5,12.5,314
0.2,5.0,2.0,15,7,17.5,314
0.2,5.0,2.0,15,10,25.0,314
0.2,5.0,2.0,20,3,7.5,314
0.2,5.0,2.0,20,5,12.5,314
0.2,5.0,2.0,20,7,17.5,314
0.2,5.0,2.0,20,10,25.0,314
0.2,5.0,2.0,25,3,7.5,314
0.2,5.0,2.0,25,5,12.5,314
0.2,5.0,2.0,25,7,17.5,314
0.2,5.0,2.0,25,10,25.0,314
0.2,5.0,2.0,30,3,7.5,314
0.2,5.0,2.0,30,5,12.5,314
0.2,5.0,2.0,30,7,17.5,314
0.2,5.0,2.0,30,10,25.0,314
0.2,5.0,2.5,10,3,18.0,310
0.2,5.0,2.5,10,5,30.0,310
0.2,5.0,2.5,10,7,42.0,310
0.2,5.0,2.5,10,10,60.0,310
0.2,5.0,2.5,15,3,18.0,310
0.2,5.0,2.5,15,5,30.0,310
0.2,5.0,2.5,15,7,42.0,310
